ticker,name,market_cap,avg_volume_3m,price,exchange,quote_type,type_disp,currency,source,discovered_at
NVDA,NVIDIA Corporation,4161988460544.0,174903088.0,171.24,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:41:10
AAPL,Apple Inc.,3716958388224.0,46586027.0,252.89,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:41:10
GOOGL,Alphabet Inc.,3398289588224.0,32649994.0,280.92,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:41:10
GOOG,Alphabet Inc.,3396111695872.0,20855296.0,280.74,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:41:10
MSFT,Microsoft Corporation,2720027377664.0,34174708.0,365.97,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:41:10
AMZN,"Amazon.com, Inc.",2227925417984.0,48889476.0,207.54,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:41:10
TSM,Taiwan Semiconductor Manufacturing Company Limited,1691370913792.0,13448255.0,326.11,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:41:10
AVGO,Broadcom Inc.,1467021262848.0,26234215.0,309.415,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:41:10
TSLA,"Tesla, Inc.",1396317356032.0,60756706.0,372.11,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:41:10
META,"Meta Platforms, Inc.",1385032712192.0,14442864.0,547.54,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:41:10
BRK-B,Berkshire Hathaway Inc.,1025096024064.0,4784257.0,475.27,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:41:10
WMT,Walmart Inc.,974068187136.0,31058015.0,122.18,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:41:10
LLY,Eli Lilly and Company,802831794176.0,3071144.0,897.0,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:41:10
JPM,JPMorgan Chase & Co.,786616483840.0,10893884.0,291.66,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:41:10
XOM,Exxon Mobil Corporation,689307648000.0,21091210.0,165.43,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:41:10
V,Visa Inc.,589073940480.0,7744538.0,305.53,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:41:10
JNJ,Johnson & Johnson,576544243712.0,8638918.0,239.24,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:41:10
ASML,ASML Holding N.V.,522039721984.0,1746291.0,1329.5,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:41:10
MA,Mastercard Incorporated,446888181760.0,3793413.0,500.75,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:41:10
COST,Costco Wholesale Corporation,434836668416.0,2252254.0,979.65,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:41:10
CVX,Chevron Corporation,415445680128.0,12332432.0,207.79,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:41:10
ORCL,Oracle Corporation,410728136704.0,26835877.0,142.81,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:41:10
MU,"Micron Technology, Inc.",400864313344.0,36363191.0,355.46,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:41:10
NFLX,"Netflix, Inc.",395853135872.0,48441452.0,93.32,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:41:10
ABBV,AbbVie Inc.,373421113344.0,7058505.0,211.12,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:41:10
