ticker,open,high,low,close,adjusted_close,volume,ema21_high,ema21_low,ema21_close,ema21_cloud_width,sma50,sma200,avg_volume_50d,wma10_weekly,wma30_weekly,three_weeks_tight,atr,adr_percent,dcr_percent,rel_volume,daily_change_pct,from_open_pct,weekly_return,monthly_return,quarterly_return,atr_21ema_zone,atr_10wma_zone,atr_50sma_zone,ema21_low_pct,atr_pct_from_50sma,overheat,atr_21ema_label,atr_50sma_label,ema21_low_size_bucket,pocket_pivot,pp_count_30d,trend_base,trade_date,name,market_cap,sector,industry,ipo_date,last_profile_update,eps_growth,revenue_growth,earnings_date,last_fundamental_update,price_data_source,profile_data_source,fundamental_data_source,price_data_note,profile_data_note,fundamental_data_note,price_data_timestamp,profile_data_timestamp,fundamental_data_timestamp,raw_rs5,rs5,raw_rs21,rs21,raw_rs63,rs63,raw_rs126,rs126,price_ratio,eps_growth_score,revenue_growth_score,fundamental_score,industry_score,hybrid_score,H,F,I,21,63,126,vcs,listing_age_days,ipo_timer,earnings_in_7d,earnings_today,earnings_flag,profile_data_coverage_pct,fundamental_data_coverage_pct,data_quality_score,data_quality_label,data_warning
NVDA,176.1699981689453,176.5,171.13999938964844,171.24000549316406,171.24000549316406,182162282,182.97269792754207,178.10778118780618,179.8873656888265,4.8649167397358895,183.80259979248046,179.1088003540039,183775111.64,180.75836542302912,183.3543671310589,False,5.69244249996561,2.7964966885687357,1.8657853008913297,0.99122389519665,-4.163861365338873,-2.7984292030550146,-4.0994579779984885,-12.43607709605483,-9.497384167359746,-1.206472563347563,-1.672104712506549,-2.2068899772623607,-4.010614035466311,-6.834829492890747,False,below,good,full,False,0,False,2026-03-26,NVIDIA Corporation,4342817226752.0,Technology,Semiconductors,,2026-03-26T18:21:17.977545,94.5,73.2,,2026-03-27T18:38:16.211606,cache_fresh,cache_fresh,cache_fresh,,,,2026-03-27 10:05:39.062671,2026-03-26 18:21:17.977545,2026-03-27 18:38:16.211607,20.0,20.0,19.047619047619047,19.047619047619047,14.285714285714285,14.285714285714285,15.873015873015872,15.873015873015872,0.2654513298366804,100.0,100.0,100.0,35.714285714285715,38.65079365079365,38.65079365079365,100.0,35.714285714285715,19.047619047619047,14.285714285714285,15.873015873015872,45.25262604074081,,unknown,False,False,False,80.0,66.67,83.83,mixed,
AAPL,251.9949951171875,257.0,250.7749938964844,252.88999938964844,252.88999938964844,41331888,258.7092195852012,253.68140383071994,255.8480805927465,5.027815754481253,260.5085995483398,247.82214935302736,48520135.76,257.25145097212356,262.36470825851603,False,5.471683201926922,1.989976300143167,33.97595854515832,0.8518502133721153,0.10688159198788405,0.35516747943534577,1.5785638535501967,-7.781792926283182,-7.148622047685227,-0.1446363782159032,-0.7970950476334571,-1.3923686510228503,-0.31294414290069433,-2.9245100437759928,False,good,good,full,False,0,False,2026-03-26,Apple Inc.,3716958388224.0,Technology,Consumer Electronics,,2026-03-27T18:36:22.759872,15.9,15.7,,2026-03-27T18:38:16.605406,cache_fresh,cache_fresh,cache_fresh,,,,2026-03-27 18:35:26.408021,2026-03-27 18:36:22.759873,2026-03-27 18:38:16.605407,100.0,100.0,95.23809523809523,95.23809523809523,76.19047619047619,76.19047619047619,56.34920634920635,56.34920634920635,0.3920228012551618,68.42105263157895,71.66666666666667,70.04385964912281,67.85714285714286,70.39766081871345,70.39766081871345,70.04385964912281,67.85714285714286,95.23809523809523,76.19047619047619,56.34920634920635,49.071018036870626,,unknown,False,False,False,80.0,66.67,83.83,mixed,
GOOGL,287.9100036621094,287.95001220703125,278.5,280.9200134277344,280.9200134277344,38906505,306.18583777776826,299.0115234829728,302.1287420040969,7.174314294795465,314.8297991943359,262.26829978942874,34649830.1,309.2869085138494,305.3512474142095,False,7.905499356612487,2.2370060685492392,25.608574621033526,1.12284836282646,-3.4406831540405025,-2.4278386111857504,-8.533842684982451,-10.220511694650213,-10.634640377507331,-2.2884715106713567,-3.588248358073397,-4.289392008897957,-6.440092976818966,-10.770831050103345,False,below,good,full,False,0,False,2026-03-26,Alphabet Inc.,3398289588224.0,Communication Services,Internet Content & Information,,2026-03-27T18:36:23.491870,29.799999999999997,18.0,,2026-03-27T18:38:17.013974,cache_fresh,cache_fresh,cache_fresh,,,,2026-03-27 18:35:26.686795,2026-03-27 18:36:23.493518,2026-03-27 18:38:17.017518,20.0,20.0,4.761904761904762,4.761904761904762,1.5873015873015872,1.5873015873015872,31.746031746031743,31.746031746031743,0.43547412257649737,78.0701754385965,83.33333333333334,80.70175438596492,7.142857142857142,25.426065162907268,25.426065162907268,80.70175438596492,7.142857142857142,4.761904761904762,1.5873015873015872,31.746031746031743,40.7058387046677,,unknown,False,False,False,80.0,66.67,83.83,mixed,
GOOG,286.04901123046875,286.5150146484375,279.04998779296875,280.739990234375,280.739990234375,28870381,305.1493236821035,298.25895592648,301.267439758319,6.890367755623515,314.7209991455078,262.8012498474121,22208107.62,308.7661776455966,305.5355676466419,False,7.652577687962767,2.1764059110470253,22.638933176351312,1.299992844685251,-3.0560468992131606,-1.85598299160569,-8.173885406712866,-10.315308012280344,-11.068171329214183,-2.2892894925668896,-3.662319881483307,-4.440465722364859,-6.240281506556769,-10.797185126951774,False,below,good,full,False,0,False,2026-03-26,Alphabet Inc.,3396111695872.0,Communication Services,Internet Content & Information,,2026-03-27T18:36:24.155990,29.799999999999997,18.0,,2026-03-27T18:38:17.422625,cache_fresh,cache_fresh,cache_fresh,,,,2026-03-27 18:35:27.005431,2026-03-27 18:36:24.170154,2026-03-27 18:38:17.425808,20.0,20.0,4.761904761904762,4.761904761904762,1.5873015873015872,1.5873015873015872,31.746031746031743,31.746031746031743,0.4351950558015281,78.0701754385965,83.33333333333334,80.70175438596492,7.142857142857142,25.426065162907268,25.426065162907268,80.70175438596492,7.142857142857142,4.761904761904762,1.5873015873015872,31.746031746031743,42.06772464109764,,unknown,False,False,False,80.0,66.67,83.83,mixed,
MSFT,370.8150024414063,374.7199096679688,365.1900024414063,365.9700012207031,365.9700012207031,36436874,397.0816015825172,389.15688212912397,391.74973443574385,7.924719453393209,412.52259948730466,479.6539497375488,38262813.48,401.394180020419,447.8236125987063,False,8.669046296962245,1.9719036923986752,8.184746826524657,0.9522790063267456,-1.3664314379738696,-1.306581769562777,-5.925142266187944,-8.644534287366945,-24.82900346459287,-2.674674942795709,-4.086283264184321,-5.369979196317618,-6.335732664174758,-11.284860108139164,False,below,good,full,False,0,False,2026-03-26,Microsoft Corporation,2720027377664.0,Technology,Software - Infrastructure,,2026-03-27T18:36:24.884219,59.5,16.7,,2026-03-27T18:38:17.828784,cache_fresh,cache_fresh,cache_fresh,,,,2026-03-27 18:35:27.270247,2026-03-27 18:36:24.886588,2026-03-27 18:38:17.831760,40.0,40.0,9.523809523809524,9.523809523809524,6.349206349206349,6.349206349206349,3.1746031746031744,3.1746031746031744,0.5673161667134222,92.98245614035088,75.0,83.99122807017544,14.285714285714285,23.94110275689223,23.94110275689223,83.99122807017544,14.285714285714285,9.523809523809524,6.349206349206349,3.1746031746031744,53.57911319008356,,unknown,False,False,False,80.0,66.67,83.83,mixed,
AMZN,210.57000732421875,212.88499450683597,207.1199951171875,207.5399932861328,207.5399932861328,45915765,213.21973899090455,208.66324508058656,210.8569501737208,4.5564939103179825,217.94519958496093,224.7663501739502,52149441.3,211.4479999889027,222.5631621330015,False,5.594502940639971,2.2419279221531494,7.285311594298761,0.8804651374088643,-1.9696817795534227,-1.4389580342373098,-0.5844037424819981,-1.4717081810189048,-10.597056159298235,-0.20077776459712768,-0.6985440430071226,-1.8598982624965497,-0.5412218515903763,-4.7742305490752,False,good,good,full,False,0,False,2026-03-26,"Amazon.com, Inc.",2227925417984.0,Consumer Cyclical,Internet Retail,,2026-03-27T18:36:25.717946,5.8999999999999995,13.600000000000001,,2026-03-27T18:38:18.227213,cache_fresh,cache_fresh,cache_fresh,,,,2026-03-27 18:35:27.556393,2026-03-27 18:36:25.720418,2026-03-27 18:38:18.237378,80.0,80.0,95.23809523809523,95.23809523809523,52.38095238095239,52.38095238095239,26.984126984126984,26.984126984126984,0.32172252654067424,43.859649122807014,66.66666666666666,55.263157894736835,21.428571428571427,42.87802840434419,42.87802840434419,55.263157894736835,21.428571428571427,95.23809523809523,52.38095238095239,26.984126984126984,47.86803116428818,,unknown,False,False,False,80.0,66.67,83.83,mixed,
TSM,339.82000732421875,340.8500061035156,325.3999938964844,326.1099853515625,326.1099853515625,13221510,350.0406467231792,339.09863849712366,344.5769497212539,10.94200822605552,348.3579998779297,287.38715003967286,14106934.2,347.72054332386364,323.66470829133067,False,12.809459459110293,3.0303525813292147,4.595410317896126,0.937234824558833,-6.2228654632458635,-4.034495226049377,-3.742738237121912,-15.892508675821437,9.819825541613758,-1.013989168475288,-1.6870780567505805,-1.73684257305206,-3.982905684889948,-6.386537565999127,False,below,good,full,False,0,False,2026-03-26,Taiwan Semiconductor Manufactur,1691370913792.0,Technology,Semiconductors,,2026-03-27T18:36:26.453641,35.0,20.5,,2026-03-27T18:38:18.623109,cache_fresh,cache_fresh,cache_fresh,,,,2026-03-27 18:35:27.870368,2026-03-27 18:36:26.453642,2026-03-27 18:38:18.636346,20.0,20.0,14.285714285714285,14.285714285714285,52.38095238095239,52.38095238095239,76.19047619047619,76.19047619047619,0.5055263169099138,85.96491228070175,86.66666666666667,86.31578947368422,35.714285714285715,55.1203007518797,55.1203007518797,86.31578947368422,35.714285714285715,14.285714285714285,52.38095238095239,76.19047619047619,38.525254905613984,,unknown,False,False,False,80.0,66.67,83.83,mixed,
AVGO,314.3299865722656,316.9200134277344,309.1700134277344,309.4150085449219,309.4150085449219,20146742,329.5912155308632,318.2426009159247,323.1135431808608,11.348614614938526,328.11910034179687,326.4601754760742,27292964.84,324.0794572310014,339.12410652406754,False,12.63463771322312,3.5781582298823986,3.1612273185483866,0.7381661214934537,-2.946892847030347,-1.5636363812886744,-3.259438441824958,-6.889647973842528,-11.423622450076088,-0.6986818752835365,-1.160654465836568,-1.4803821226547496,-2.852994239845093,-5.700397135488672,False,below,good,full,False,0,False,2026-03-26,Broadcom Inc.,1467021262848.0,Technology,Semiconductors,,2026-03-27T18:36:27.187225,1.727,16.400000000000002,,2026-03-27T18:38:19.177484,cache_fresh,cache_fresh,cache_fresh,,,,2026-03-27 18:35:28.222086,2026-03-27 18:36:27.193146,2026-03-27 18:38:19.179455,40.0,40.0,42.857142857142854,42.857142857142854,36.507936507936506,36.507936507936506,18.253968253968253,18.253968253968253,0.4796462441888685,33.33333333333333,73.33333333333333,53.33333333333333,35.714285714285715,36.61904761904761,36.61904761904761,53.33333333333333,35.714285714285715,42.857142857142854,36.507936507936506,18.253968253968253,45.06688334725577,,unknown,False,False,False,80.0,66.67,83.83,mixed,
TSLA,381.8299865722656,384.4400024414063,371.8699951171875,372.1099853515625,372.1099853515625,54835418,399.6915599299708,387.96199004285586,392.3769374180622,11.729569887114963,410.1845989990234,395.8924996948242,60255848.36,400.3858215332031,423.0791848459551,False,13.54846879311847,2.9438933425844787,1.9092290734994841,0.9100430828288151,-3.585963575004303,-2.5456359014546663,-2.1535636876919506,-10.850505320360359,-23.36477732462732,-1.1700218624959966,-2.0870134192583047,-2.8102521568193564,-4.260032064529707,-9.282311851877104,False,below,good,full,False,0,False,2026-03-26,"Tesla, Inc.",1396317356032.0,Consumer Cyclical,Auto Manufacturers,,2026-03-27T18:36:27.870631,-60.5,-3.1,,2026-03-27T18:38:19.573948,cache_fresh,cache_fresh,cache_fresh,,,,2026-03-27 18:35:28.520227,2026-03-27 18:36:27.870960,2026-03-27 18:38:19.576347,40.0,40.0,19.047619047619047,19.047619047619047,6.349206349206349,6.349206349206349,3.1746031746031744,3.1746031746031744,0.5768341934620128,5.263157894736842,8.333333333333332,6.798245614035087,3.571428571428571,6.2406015037593985,6.2406015037593985,6.798245614035087,3.571428571428571,19.047619047619047,6.349206349206349,3.1746031746031744,40.48754418790082,,unknown,False,False,False,80.0,66.67,83.83,mixed,
META,582.530029296875,583.0,543.3499755859375,547.5399780273438,547.5399780273438,34368583,629.0227788660011,612.7156768566457,618.5230529610603,16.30710200935539,645.356796875,688.4856991577149,15577409.66,636.764541903409,652.4744274508569,False,19.626612495381455,2.5465781731702126,10.567464972153209,2.206309248465897,-7.9594606490539626,-6.006566101281495,-9.751118013740811,-16.238587712465026,-17.655731943185003,-3.3207818641469142,-4.546101060336402,-4.983886998873317,-11.90336805435002,-15.157013813337509,False,below,good,full,False,0,False,2026-03-26,"Meta Platforms, Inc.",1504807223296.0,Communication Services,Internet Content & Information,,2026-03-26T18:21:18.294863,9.3,23.799999999999997,,2026-03-27T18:38:19.970630,cache_fresh,cache_fresh,cache_fresh,,,,2026-03-27 10:05:39.296686,2026-03-26 18:21:18.294863,2026-03-27 18:38:19.972639,20.0,20.0,4.761904761904762,4.761904761904762,1.5873015873015872,1.5873015873015872,0.7936507936507936,0.7936507936507936,0.8487807208807138,52.63157894736842,91.66666666666666,72.14912280701753,7.142857142857142,17.5250626566416,17.5250626566416,72.14912280701753,7.142857142857142,4.761904761904762,1.5873015873015872,0.7936507936507936,39.080344892783216,,unknown,False,False,False,80.0,66.67,83.83,mixed,
